Garment,Split,Normalised Coverage,Max IoU,Colour
Trousers,Train,0.999657240114275,0.9788972089857045,"[185, 198, 164]"
Trousers,Train,0.9996757155661117,0.974025974025974,"[166, 151, 161]"
Trousers,Train,0.4810840593257975,0.425065274151436,"[215, 118, 102]"
Trousers,Train,1.0,0.9837078651685394,"[121, 255, 255]"
Trousers,Train,0.5466336645447188,0.543223647518126,"[181, 255, 236]"
Trousers,Train,0.5431069020583671,0.5215686274509804,"[180, 202, 202]"
Trousers,Train,0.5805100052765537,0.564217610768368,"[115, 251, 255]"
Trousers,Train,0.5551749630970013,0.518109269490485,"[55, 50, 53]"
Trousers,Train,0.515870303554274,0.4826283987915408,"[249, 203, 253]"
Trousers,Train,0.9986744833296065,0.9521791767554479,"[59, 55, 58]"
Trousers,Train,0.7053071747720046,0.6326409495548961,"[254, 253, 253]"
Trousers,Train,1.0,0.975355969331873,"[181, 83, 150]"
Trousers,Train,0.9970185371456355,0.9770408163265306,"[188, 158, 147]"
Trousers,Train,0.9998636111593301,0.9524128686327078,"[185, 198, 164]"
Trousers,Train,0.4591693952720339,0.4287425149700599,"[190, 191, 184]"
Trousers,Train,1.0,0.9626373626373627,"[201, 255, 255]"
Trousers,Train,0.5515267147934113,0.511340206185567,"[158, 143, 154]"
