Model,Total | SR,Total | IoU,Total | Last_SR,Total | NC,Total | NI,Canon-Longsleeve | IoU,Dress | IoU,Longsleeve | IoU,Skirt | IoU,Trousers | IoU,Canon-Longsleeve | Last_SR,Dress | Last_SR,Longsleeve | Last_SR,Skirt | Last_SR,Trousers | Last_SR,Canon-Longsleeve | NC,Dress | NC,Longsleeve | NC,Skirt | NC,Trousers | NC,Canon-Longsleeve | NI,Dress | NI,Longsleeve | NI,Skirt | NI,Trousers | NI,Canon-Longsleeve | SR,Dress | SR,Longsleeve | SR,Skirt | SR,Trousers | SR
[all_sim] v117,0.5933333333333334,0.709002,0.42666666666666664,0.8762673333333334,0.7180453333333332,0.6904499999999999,0.7788799999999998,0.6959233333333333,0.7277966666666668,0.65196,0.36666666666666664,0.6,0.4,0.6333333333333333,0.13333333333333333,0.8482433333333332,0.9322033333333333,0.8884933333333334,0.8821700000000001,0.8302266666666666,0.6583033333333331,0.8414133333333331,0.7501233333333334,0.72544,0.6149466666666666,0.4666666666666667,0.8333333333333334,0.5,0.8333333333333334,0.3333333333333333
[all_sim] v116_hindsight,0.58,0.7273933333333333,0.27999999999999997,0.8965873333333333,0.7636680000000001,0.6985500000000001,0.7908366666666669,0.6575033333333333,0.7962033333333334,0.6938733333333335,0.36666666666666664,0.43333333333333335,0.2,0.26666666666666666,0.13333333333333333,0.87942,0.9457633333333334,0.8668999999999999,0.9476766666666667,0.8431766666666667,0.72171,0.87233,0.7034533333333334,0.88145,0.6393966666666667,0.5666666666666667,0.7333333333333333,0.3,0.8,0.5
[mix] v151_hindsight,0.5733333333333333,0.7113653333333334,0.36,0.8693553333333333,0.7038886666666667,0.6328800000000001,0.7782966666666667,0.6986899999999999,0.7846833333333334,0.6622766666666667,0.16666666666666666,0.5666666666666667,0.26666666666666666,0.6666666666666666,0.13333333333333333,0.8015900000000001,0.9225066666666666,0.8928166666666667,0.8919266666666665,0.8379366666666667,0.56531,0.81546,0.7610833333333334,0.7518566666666667,0.6257333333333333,0.23333333333333334,0.8333333333333334,0.5666666666666667,0.9333333333333333,0.3
[all_sim] v105_flat_policy,0.5666666666666667,0.7110913333333334,0.3666666666666667,0.8686066666666667,0.7043973333333333,0.6739366666666666,0.7475366666666667,0.6921700000000002,0.8021466666666667,0.6396666666666666,0.23333333333333334,0.5,0.3333333333333333,0.6666666666666666,0.1,0.8390633333333333,0.8917966666666665,0.8818666666666667,0.9053033333333335,0.8250033333333332,0.6463933333333333,0.7595733333333333,0.7368333333333332,0.78018,0.5990066666666666,0.36666666666666664,0.7333333333333333,0.4666666666666667,0.9,0.36666666666666664
[all_sim] v135_hindsight,0.5666666666666667,0.707702,0.3466666666666667,0.8681226666666666,0.7009026666666666,0.63839,0.7680599999999999,0.6730333333333335,0.8050966666666667,0.65393,0.1,0.43333333333333335,0.23333333333333334,0.7333333333333333,0.23333333333333334,0.8307699999999999,0.9164099999999997,0.86051,0.9190333333333334,0.8138899999999999,0.6146433333333333,0.8124833333333333,0.69087,0.8115799999999999,0.5749366666666667,0.36666666666666664,0.7,0.43333333333333335,0.9666666666666667,0.36666666666666664
[mix] v155_hindsight,0.56,0.7060913333333333,0.31333333333333335,0.8887699999999998,0.7434486666666668,0.6078733333333335,0.7482033333333332,0.6820999999999999,0.7980866666666666,0.6941933333333332,0.06666666666666667,0.6333333333333333,0.1,0.6,0.16666666666666666,0.8109666666666667,0.9272333333333334,0.90538,0.9290333333333332,0.8712366666666665,0.5660233333333333,0.8360533333333334,0.7866599999999999,0.8339366666666668,0.6945700000000001,0.23333333333333334,0.7,0.43333333333333335,0.9666666666666667,0.4666666666666667
[all_sim] v106,0.5533333333333333,0.6929879999999999,0.4666666666666666,0.8532900000000001,0.6680926666666667,0.6689466666666668,0.75334,0.6718,0.7150633333333332,0.65579,0.3,0.6,0.4,0.7,0.3333333333333333,0.8264166666666669,0.8901233333333333,0.8655166666666667,0.8676966666666668,0.8166966666666667,0.6121866666666665,0.7631533333333334,0.6874433333333333,0.6888566666666666,0.5888233333333334,0.36666666666666664,0.7333333333333333,0.43333333333333335,0.8333333333333334,0.4
[all_sim] v105_ordinary_policy,0.5533333333333333,0.7076406666666666,0.4133333333333333,0.8648093333333333,0.697172,0.6421699999999998,0.7648200000000002,0.6879433333333332,0.7715433333333332,0.6717266666666666,0.23333333333333334,0.6333333333333333,0.16666666666666666,0.7333333333333333,0.3,0.8243266666666667,0.9064599999999999,0.8655366666666666,0.8914333333333333,0.83629,0.6140966666666667,0.7914800000000002,0.6983466666666664,0.7558466666666667,0.6260900000000001,0.26666666666666666,0.8333333333333334,0.43333333333333335,0.8333333333333334,0.4
[all_sim] v105_hindsight,0.5466666666666666,0.7079200000000001,0.24,0.8828046666666667,0.7316766666666666,0.6328133333333332,0.7854033333333333,0.6780633333333335,0.7750000000000001,0.6683199999999999,0.03333333333333333,0.36666666666666664,0.26666666666666666,0.4,0.13333333333333333,0.8285566666666667,0.9420500000000002,0.8826199999999998,0.9195099999999999,0.8412866666666666,0.6077466666666667,0.8647633333333331,0.7420433333333333,0.8201466666666667,0.6236833333333334,0.2,0.7333333333333333,0.5333333333333333,0.8,0.4666666666666667
[all_sim] v109,0.5333333333333334,0.6799099999999999,0.4133333333333333,0.8422733333333333,0.6452273333333334,0.6427133333333332,0.7242599999999999,0.6559433333333334,0.7407566666666664,0.6358766666666665,0.23333333333333334,0.6333333333333333,0.2,0.7333333333333333,0.26666666666666666,0.8032033333333332,0.8828566666666666,0.8546566666666667,0.8570200000000001,0.81363,0.56696,0.7454733333333332,0.66124,0.6715366666666667,0.5809266666666666,0.3333333333333333,0.7333333333333333,0.4,0.8333333333333334,0.36666666666666664
[all_sim] v133_hindsight,0.5333333333333333,0.6941,0.2733333333333333,0.8601153333333335,0.6825713333333333,0.6313866666666665,0.7604266666666669,0.6322,0.7817466666666667,0.6647399999999999,0.16666666666666666,0.4666666666666667,0.06666666666666667,0.43333333333333335,0.23333333333333334,0.7971,0.9166766666666668,0.8518466666666666,0.9056666666666668,0.8292866666666665,0.5415933333333334,0.8078766666666667,0.6743333333333332,0.7808866666666667,0.6081666666666666,0.3,0.8,0.3,0.8666666666666667,0.4
[all_sim] v104,0.5266666666666666,0.6606526666666666,0.45999999999999996,0.8335140000000001,0.6290479999999999,0.7057066666666668,0.6918399999999998,0.70765,0.6330199999999999,0.5650466666666667,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.6333333333333333,0.13333333333333333,0.8414133333333332,0.8394733333333332,0.8713066666666668,0.8385666666666668,0.7768099999999999,0.6529133333333333,0.6557966666666667,0.7143733333333333,0.6189833333333333,0.5031733333333334,0.5333333333333333,0.6,0.5666666666666667,0.7,0.23333333333333334
[all_sim] v102_hindsight,0.5266666666666666,0.7088386666666666,0.10666666666666666,0.886922,0.7420933333333333,0.6492633333333333,0.7847033333333334,0.64195,0.8096200000000001,0.6586566666666667,0.03333333333333333,0.23333333333333334,0.0,0.23333333333333334,0.03333333333333333,0.8431166666666667,0.9378833333333334,0.86195,0.9392066666666669,0.8524533333333333,0.6377233333333333,0.8540666666666666,0.6878366666666668,0.8617733333333333,0.6690666666666665,0.3333333333333333,0.7666666666666667,0.3,0.8666666666666667,0.36666666666666664
[mix] v156_hindsight,0.4375,0.6821904166666668,0.23333333333333334,0.8468,0.6604579166666666,0.6491433333333334,,0.7152375000000001,,,0.13333333333333333,,0.3333333333333333,,,0.8119833333333333,,0.8816166666666666,,,0.5764866666666666,,0.7444291666666668,,,0.3333333333333333,,0.5416666666666666,,
[all_sim] v143_hindsight,0.42727272727272725,0.6595083333333334,0.3318181818181818,0.8451695454545456,0.6521236363636365,0.6630166666666667,,0.656,,,0.3,,0.36363636363636365,,,0.8272300000000001,,0.863109090909091,,,0.60062,,0.7036272727272728,,,0.4,,0.45454545454545453,,
[mix] v157_hindsight,0.31862745098039214,0.6320114705882354,0.15098039215686274,0.8146250980392157,0.5904141176470589,0.5931700000000001,,0.6708529411764707,,,0.06666666666666667,,0.23529411764705882,,,0.7545266666666667,,0.8747235294117647,,,0.44014000000000003,,0.7406882352941178,,,0.16666666666666666,,0.47058823529411764,,
[all_sim] v134_hindsight,0.16666666666666669,0.6055986666666666,0.06,0.8036313333333334,0.5539053333333334,0.52218,0.6784566666666667,0.5557533333333333,0.7087233333333333,0.56288,0.0,0.1,0.03333333333333333,0.16666666666666666,0.0,0.7211933333333334,0.8631366666666669,0.7783866666666667,0.8728433333333334,0.7825966666666667,0.37192666666666674,0.68068,0.50471,0.7160366666666668,0.4961733333333333,0.03333333333333333,0.23333333333333334,0.13333333333333333,0.4,0.03333333333333333
[all_sim] v120_hindsight,0.03333333333333334,0.5455473333333334,0.013333333333333332,0.7667560000000001,0.4752306666666667,0.5053833333333333,0.5955933333333335,0.49856666666666677,0.6303333333333333,0.49785999999999986,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.6887800000000001,0.8446333333333332,0.7336200000000002,0.8120566666666668,0.75469,0.29805333333333334,0.6466033333333334,0.41965999999999987,0.5650300000000001,0.4468066666666667,0.0,0.03333333333333333,0.03333333333333333,0.1,0.0
[all_sim] v130_hindsight,0.013333333333333332,0.4995446666666667,0.0,0.7201779999999999,0.372626,0.45116333333333336,0.4970033333333334,0.48659000000000013,0.5778166666666668,0.48515,0.0,0.0,0.0,0.0,0.0,0.6617833333333334,0.7510633333333332,0.7128866666666663,0.7641466666666665,0.71101,0.24286333333333332,0.4394566666666667,0.36387,0.46697666666666665,0.3499633333333333,0.0,0.0,0.0,0.06666666666666667,0.0
